Table S1e Top ranked cell type-expressed genes based on human data					
					
Zhang2016_rank	Darmanis2015_rank	grand_rank	gene	Celltype	
281	174	227.5	VPS13C	ast	
304	152	228	SF3B1	ast	
325	132	228.5	MGEA5	ast	
412	46	229	AXL	ast	
145	324	234.5	S100B	ast	
330	139	234.5	TCF4	ast	
96	376	236	SASH1	ast	
422	53	237.5	ENO1	ast	
178	298	238	CLTC	ast	
247	231	239	DDX3X	ast	
170	312	241	SORL1	ast	
92	392	242	IL6ST	ast	
345	144	244.5	STON2	ast	
163	328	245.5	ITM2C	ast	
254	239	246.5	ATP5A1	ast	
184	311	247.5	PRNP	ast	
255	241	248	PSD2	ast	
381	120	250.5	LGI1	ast	
46	456	251	GPRC5B	ast	
223	280	251.5	SRSF5	ast	
158	359	258.5	WDFY3	ast	
469	56	262.5	SRSF3	ast	
392	134	263	RFTN2	ast	
268	259	263.5	RTN4	ast	
309	222	265.5	GRM3	ast	
215	316	265.5	TAOK1	ast	
79	455	267	TPP1	ast	
112	430	271	RHOBTB3	ast	
295	248	271.5	ITGB8	ast	
226	319	272.5	TACC1	ast	
320	229	274.5	GOLGB1	ast	
367	183	275	CHD9	ast	
400	159	279.5	IDI1	ast	
458	102	280	CLDN10	ast	
156	406	281	HSP90B1	ast	
173	394	283.5	ADCYAP1R1	ast	
410	157	283.5	SFPQ	ast	
439	128	283.5	SLITRK2	ast	
198	371	284.5	TMEM47	ast	
250	323	286.5	PMP22	ast	
402	173	287.5	MRVI1	ast	
335	242	288.5	MAP1B	ast	
311	269	290	WIF1	ast	
319	262	290.5	CEP350	ast	
445	140	292.5	CDC42BPA	ast	
270	326	298	PJA2	ast	
394	203	298.5	MT-ND6	ast	
217	382	299.5	RPL15	ast	
213	387	300	CNTN1	ast	
342	260	301	CAPN2	ast	
316	290	303	CLASP2	ast	
346	261	303.5	YWHAZ	ast	
361	250	305.5	MKLN1	ast	
358	256	307	INTU	ast	
509	105	307	LUC7L3	ast	
220	396	308	UBR4	ast	
282	335	308.5	CADM2	ast	
199	418	308.5	SLC39A12	ast	
235	383	309	PTAR1	ast	
401	218	309.5	TNRC6B	ast	
355	265	310	TTC3	ast	
359	263	311	GLG1	ast	
197	428	312.5	LRP4	ast	
207	427	317	ITM2B	ast	
387	252	319.5	ZNF638	ast	
333	308	320.5	EPS15	ast	
192	450	321	FUT9	ast	
208	437	322.5	SPTAN1	ast	
307	339	323	ALDH6A1	ast	
303	343	323	TRPS1	ast	
134	513	323.5	CST3	ast	
263	386	324.5	CTNND2	ast	
460	189	324.5	PDK4	ast	
277	375	326	CYCS	ast	
343	310	326.5	EFEMP1	ast	
41	619	330	KCNJ10	ast	
317	345	331	BIRC6	ast	
527	135	331	NKTR	ast	
326	340	333	CYP4V2	ast	
398	271	334.5	EIF1	ast	
206	466	336	ITGAV	ast	
351	325	338	PEBP1	ast	
291	389	340	METTL7A	ast	
545	138	341.5	SKP1	ast	
261	424	342.5	DOCK7	ast	
406	284	345	TUBA1A	ast	
498	200	349	TROVE2	ast	
232	467	349.5	NCOA1	ast	
504	195	349.5	SLC25A5	ast	
395	305	350	MAPK10	ast	
331	372	351.5	BPTF	ast	
538	167	352.5	OGT	ast	
153	559	356	SPON1	ast	
479	234	356.5	SNHG14	ast	
271	444	357.5	EIF4A2	ast	
166	549	357.5	GATM	ast	
301	415	358	PRRC2C	ast	
365	352	358.5	HNRNPDL	ast	
472	247	359.5	CCNL1	ast	
547	184	365.5	SLC15A2	ast	
540	192	366	SLC25A18	ast	
370	364	367	NCKAP1	ast	
237	499	368	NFAT5	ast	
492	245	368.5	HIF1A	ast	
348	395	371.5	FAM184A	ast	
238	505	371.5	HUWE1	ast	
275	468	371.5	KMT2A	ast	
453	293	373	LINC00657	ast	
327	425	376	GPR56	ast	
289	465	377	CHL1	ast	
248	508	378	SARAF	ast	
55	702	378.5	TMOD2	ast	
39	721	380	NDRG2	ast	
405	356	380.5	ACSL3	ast	
357	407	382	USP34	ast	
323	443	383	ADCY2	ast	
483	287	385	MSMO1	ast	
411	365	388	ARHGAP32	ast	
471	306	388.5	CAMK2G	ast	
242	538	390	PDE4DIP	ast	
188	594	391	RTN3	ast	
568	217	392.5	CTD-2353F22.2	ast	
720	66	393	C6ORF62	ast	
427	362	394.5	ABI1	ast	
161	637	399	GNAS	ast	
136	668	402	ARHGAP21	ast	
659	146	402.5	SLC48A1	ast	
503	307	405	SFXN5	ast	
742	70	406	HNRNPH1	ast	
562	253	407.5	POGZ	ast	
437	379	408	EIF5	ast	
384	433	408.5	TNS3	ast	
668	150	409	CD47	ast	
90	741	415.5	TUBB2B	ast	
339	493	416	TFRC	ast	
352	481	416.5	CYBRD1	ast	
267	567	417	ABI2	ast	
493	341	417	KIF21A	ast	
293	542	417.5	DYNC1H1	ast	
432	405	418.5	GABRG1	ast	
241	596	418.5	GNAQ	ast	
363	476	419.5	ERBB4	ast	
505	334	419.5	SRP14	ast	
420	422	421	ITGA6	ast	
169	677	423	AK4	ast	
222	625	423.5	ASTN1	ast	
151	696	423.5	CBX5	ast	
276	571	423.5	PRDX6	ast	
314	534	424	ERBB2IP	ast	
634	216	425	BCLAF1	ast	
685	166	425.5	AKAP9	ast	
435	420	427.5	HSPD1	ast	
482	373	427.5	RORA	ast	
149	708	428.5	EIF4EBP2	ast	
252	605	428.5	RP11-731J8.2	ast	
501	357	429	POU2F1	ast	
154	707	430.5	NOTCH2	ast	
284	578	431	FGFR3	ast	
298	574	436	FERMT2	ast	
260	615	437.5	PITPNC1	ast	
165	711	438	NF1	ast	
591	286	438.5	SAR1B	ast	
391	492	441.5	NPAS3	ast	
262	621	441.5	RAB31	ast	
657	227	442	ADD1	ast	
476	410	443	SIPA1L1	ast	
297	590	443.5	PPIA	ast	
500	388	444	HP1BP3	ast	
312	577	444.5	PDLIM5	ast	
286	607	446.5	OPHN1	ast	
457	439	448	FAM213A	ast	
328	568	448	MERTK	ast	
416	482	449	PTK2	ast	
440	459	449.5	FLRT2	ast	
269	634	451.5	MAPK1	ast	
459	445	452	TOP2B	ast	
579	329	454	MT3	ast	
259	650	454.5	MAP4K4	ast	
386	525	455.5	HADHB	ast	
660	251	455.5	LPIN1	ast	
100	819	459.5	MAT2A	ast	
561	358	459.5	NADK2	ast	
702	219	460.5	TPD52L1	ast	
451	471	461	NDUFS1	ast	
593	332	462.5	ARL6IP1	ast	
447	478	462.5	NTRK3	ast	
403	523	463	PPP1R3C	ast	
354	576	465	BAI3	ast	
246	687	466.5	PHLPP1	ast	
841	93	467	NHSL1	ast	
366	569	467.5	UBR5	ast	
567	370	468.5	ELOVL5	ast	
127	811	469	ALDH2	ast	
571	368	469.5	KIDINS220	ast	
99	845	472	RP5-857K21.6	ast	
408	540	474	ALCAM	ast	
429	519	474	DOCK4	ast	
350	600	475	SMARCA2	ast	
758	196	477	LIMCH1	ast	
565	391	478	ARAP2	ast	
537	421	479	DMD	ast	
353	606	479.5	ASH1L	ast	
444	517	480.5	TUG1	ast	
396	566	481	HSPA9	ast	
288	680	484	RORB	ast	
461	507	484	ZNF532	ast	
489	491	490	MYCBP2	ast	
162	835	498.5	AHCYL2	ast	
441	556	498.5	TRIL	ast	
389	616	502.5	CHN1	ast	
716	294	505	C3ORF70	ast	
308	705	506.5	CXCL14	ast	
299	714	506.5	CYFIP2	ast	
628	385	506.5	SLC18B1	ast	
131	882	506.5	WNK1	ast	
546	469	507.5	UBE2D3	ast	
443	573	508	SMG1	ast	
413	608	510.5	HADHA	ast	
494	529	511.5	GPR125	ast	
584	441	512.5	JMJD1C	ast	
596	429	512.5	TRIM9	ast	
626	402	514	PTPRG	ast	
258	772	515	LPHN3	ast	
490	543	516.5	RAB30	ast	
224	814	519	ITSN1	ast	
581	457	519	TRPM3	ast	
114	925	519.5	FAT1	ast	
463	584	523.5	CELF2	ast	
557	490	523.5	ZC3H11A	ast	
677	374	525.5	EFR3B	ast	
691	361	526	DLC1	ast	
542	511	526.5	SDC4	ast	
558	498	528	TRA2B	ast	
563	495	529	FNBP1	ast	
531	533	532	NUDT3	ast	
341	725	533	S1PR1	ast	
666	401	533.5	LARP1	ast	
244	823	533.5	PLEKHB1	ast	
622	447	534.5	JAM2	ast	
574	497	535.5	DPP8	ast	
904	169	536.5	HSPH1	ast	
893	181	537	MORF4L1	ast	
511	564	537.5	CLIP1	ast	
474	609	541.5	PRKDC	ast	
717	366	541.5	RBM25	ast	
621	464	542.5	DNAH7	ast	
790	295	542.5	GOLIM4	ast	
265	821	543	MRAS	ast	
231	857	544	CLASP1	ast	
397	691	544	ST13	ast	
896	199	547.5	HMGB1	ast	
746	350	548	LONP2	ast	
1045	51	548	PPP1CB	ast	
662	438	550	RPL21	ast	
605	496	550.5	UBR3	ast	
775	330	552.5	PTGDS	ast	
480	630	555	TSPAN3	ast	
368	743	555.5	AFF4	ast	
430	683	556.5	MEGF10	ast	
243	876	559.5	WASF3	ast	
614	510	562	ARHGEF6	ast	
1060	64	562	MARCKS	ast	
914	215	564.5	SRP9	ast	
249	887	568	EGFR	ast	
762	378	570	C1ORF198	ast	
364	776	570	SOX5	ast	
118	1023	570.5	CHRDL1	ast	
684	458	571	SSR1	ast	
839	304	571.5	SLC20A1	ast	
484	661	572.5	DBI	ast	
556	589	572.5	MXI1	ast	
766	381	573.5	CRB1	ast	
784	363	573.5	SRSF7	ast	
349	799	574	ZNF106	ast	
956	202	579	CSGALNACT1	ast	
613	547	580	SELT	ast	
264	898	581	ELOVL2	ast	
829	333	581	RFX4	ast	
138	1025	581.5	FGFR2	ast	
683	480	581.5	USP47	ast	
966	198	582	OAT	ast	
449	716	582.5	ALDH7A1	ast	
518	652	585	SRGAP3	ast	
1059	112	585.5	N4BP2L2	ast	
592	591	591.5	DYNLL1	ast	
753	431	592	U2SURP	ast	
526	660	593	CTNNA1	ast	
230	959	594.5	BAALC	ast	
1127	62	594.5	SRSF6	ast	
838	354	596	PPM1K	ast	
1140	54	597	AASS	ast	
347	847	597	AKAP12	ast	
905	297	601	GPBP1	ast	
473	731	602	FADS1	ast	
922	283	602.5	RIMKLB	ast	
1178	35	606.5	CKB	ast	
814	400	607	TSC22D1	ast	
551	664	607.5	UQCRC2	ast	
863	355	609	ZNF207	ast	
240	984	612	SIRPA	ast	
487	738	612.5	PPP2R2B	ast	
816	414	615	PAPOLA	ast	
953	278	615.5	PAX6	ast	
1009	224	616.5	ID2	ast	
233	1001	617	MAP4	ast	
550	688	619	ATP8A1	ast	
553	686	619.5	SOD1	ast	
1171	68	619.5	TBL1XR1	ast	
859	380	619.5	TNRC6A	ast	
536	704	620	CDH2	ast	
654	586	620	RPL3	ast	
678	562	620	ZBTB20	ast	
516	726	621	MEGF9	ast	
840	403	621.5	CHP1	ast	
523	720	621.5	FEZ1	ast	
572	672	622	ATXN2	ast	
512	739	625.5	CTNNA2	ast	
1129	124	626.5	ANP32E	ast	
337	916	626.5	USP24	ast	
436	818	627	FGD6	ast	
600	659	629.5	ATP2C1	ast	
590	669	629.5	CACHD1	ast	
747	518	632.5	RDX	ast	
201	1068	634.5	NEO1	ast	
767	506	636.5	DMTF1	ast	
993	288	640.5	MGST1	ast	
727	554	640.5	VAPA	ast	
797	485	641	DNAJB1	ast	
306	980	643	ATP2B4	ast	
521	765	643	FARP1	ast	
1135	153	644	DNAJC3	ast	
376	913	644.5	GLI3	ast	
1069	220	644.5	WSB1	ast	
431	867	649	NIN	ast	
870	432	651	BRWD1	ast	
1077	225	651	PPP1R12A	ast	
721	582	651.5	EIF4G3	ast	
519	785	652	RABGAP1	ast	
826	479	652.5	CLDND1	ast	
491	816	653.5	CD63	ast	
148	1162	655	SRRM2	ast	
789	522	655.5	SRSF2	ast	
147	1165	656	RHOA	ast	
998	317	657.5	ATRX	ast	
603	715	659	CD59	ast	
454	868	661	MFAP3L	ast	
885	442	663.5	IRF2BP2	ast	
172	1155	663.5	NUCKS1	ast	
171	1157	664	SERINC1	ast	
496	832	664	SLC25A3	ast	
749	580	664.5	C5ORF42	ast	
522	812	667	PTPN13	ast	
741	598	669.5	MAP2	ast	
544	796	670	PER3	ast	
1187	154	670.5	CACNB2	ast	
888	453	670.5	ZNF292	ast	
785	558	671.5	MDM4	ast	
787	557	672	RUFY3	ast	
619	728	673.5	SPECC1	ast	
1167	182	674.5	ARGLU1	ast	
1006	347	676.5	GOLGA4	ast	
415	938	676.5	RPL5	ast	
607	748	677.5	PBX1	ast	
670	690	680	DNAJA1	ast	
497	864	680.5	ARNT2	ast	
735	632	683.5	ATP5F1	ast	
955	416	685.5	LIX1	ast	
835	536	685.5	RBM5	ast	
290	1082	686	NDRG4	ast	
1138	236	687	DOCK5	ast	
733	642	687.5	FKBP9	ast	
864	512	688	MGLL	ast	
1016	360	688	NAP1L1	ast	
582	794	688	NCOA4	ast	
1206	170	688	TPI1	ast	
915	462	688.5	PNPLA8	ast	
669	710	689.5	LEPROT	ast	
608	771	689.5	NFE2L2	ast	
792	587	689.5	UGP2	ast	
456	924	690	ABAT	ast	
1180	201	690.5	TOB1	ast	
744	640	692	PGK1	ast	
446	939	692.5	DAZAP2	ast	
388	999	693.5	PADI2	ast	
377	1013	695	USP9X	ast	
495	902	698.5	FMN2	ast	
1075	322	698.5	SLC44A1	ast	
675	729	702	MAST4	ast	
313	1092	702.5	SLC14A1	ast	
1087	321	704	DYNC2H1	ast	
599	809	704	TAX1BP1	ast	
1043	367	705	MGAT4C	ast	
807	611	709	GABARAPL2	ast	
783	635	709	MARK3	ast	
465	954	709.5	CABLES1	ast	
513	906	709.5	FYN	ast	
285	1137	711	EMX2OS	ast	
570	854	712	C20ORF194	ast	
800	624	712	CYB5B	ast	
1197	228	712.5	LRRC8A	ast	
745	684	714.5	SH3BGRL	ast	
209	1221	715	APLP2	ast	
954	477	715.5	CTSB	ast	
1296	143	719.5	CLK1	ast	
907	535	721	GABRB1	ast	
438	1009	723.5	CAPRIN1	ast	
1144	303	723.5	SLC13A5	ast	
751	697	724	TPR	ast	
520	929	724.5	LPP	ast	
221	1232	726.5	RHOB	ast	
740	713	726.5	TMEM59	ast	
1335	119	727	RBM6	ast	
855	604	729.5	SSR3	ast	
344	1116	730	ARPP19	ast	
515	945	730	CASC4	ast	
795	665	730	DNM3	ast	
1196	267	731.5	CAT	ast	
1163	300	731.5	UBR2	ast	
1258	210	734	NASP	ast	
731	749	740	SETX	ast	
633	853	743	PKM	ast	
692	795	743.5	NCOR1	ast	
951	537	744	ID4	ast	
609	884	746.5	FDFT1	ast	
564	931	747.5	SERINC3	ast	
646	850	748	CPNE3	ast	
1195	301	748	RASSF4	ast	
1108	397	752.5	BCAN	ast	
620	888	754	RALGAPA1	ast	
1334	177	755.5	SRSF11	ast	
710	801	755.5	ZFR	ast	
641	873	757	SGIP1	ast	
703	813	758	PAMR1	ast	
1165	353	759	SUGT1	ast	
948	570	759	UBXN4	ast	
992	527	759.5	BOD1L1	ast	
1100	426	763	ZMAT1	ast	
227	1300	763.5	SEPT11	ast	
625	903	764	PRCP	ast	
486	1042	764	ZHX3	ast	
157	1373	765	ATP2A2	ast	
984	548	766	PHIP	ast	
310	1223	766.5	EFCAB14	ast	
656	878	767	NPM1	ast	
1445	89	767	TLK1	ast	
765	775	770	MAGI2	ast	
385	1156	770.5	ZEB2	ast	
1130	413	771.5	REV3L	ast	
1337	207	772	DCUN1D1	ast	
535	1010	772.5	HSDL2	ast	
1325	221	773	TMEM33	ast	
399	1148	773.5	KAT2B	ast	
627	923	775	SCRG1	ast	
819	732	775.5	FAM171A1	ast	
782	769	775.5	SLC35F1	ast	
959	603	781	CNBP	ast	
1242	327	784.5	RBBP6	ast	
977	593	785	RPN2	ast	
305	1267	786	LAPTM4A	ast	
1228	344	786	SLC3A2	ast	
723	852	787.5	ALDH9A1	ast	
645	934	789.5	APPL2	ast	
978	601	789.5	SACS	ast	
1065	515	790	GAN	ast	
1128	452	790	KIAA1467	ast	
1161	419	790	RBM26	ast	
393	1189	791	MED13	ast	
988	599	793.5	SAMD8	ast	
404	1186	795	CTNND1	ast	
302	1289	795.5	CSDE1	ast	
736	858	797	MAOA	ast	
686	909	797.5	KLHL24	ast	
798	800	799	HERC1	ast	
1021	579	800	EPRS	ast	
647	953	800	XRCC5	ast	
969	631	800	ZDHHC2	ast	
200	1406	803	NCL	ast	
950	657	803.5	COX4I1	ast	
225	1384	804.5	SCRN1	ast	
383	1228	805.5	BMPR2	ast	
705	908	806.5	DARS	ast	
617	997	807	RGL1	ast	
356	1258	807	SCARB2	ast	
1313	302	807.5	OSBPL11	ast	
372	1243	807.5	TRIP12	ast	
858	757	807.5	ZFP36L1	ast	
266	1353	809.5	VIM	ast	
362	1259	810.5	CKAP5	ast	
1032	595	813.5	PDCD6IP	ast	
338	1293	815.5	SEPT3	ast	
805	826	815.5	SNX5	ast	
884	750	817	TIPARP	ast	
624	1012	818	RANBP2	ast	
661	979	820	KTN1	ast	
799	842	820.5	HELZ	ast	
713	928	820.5	SETD2	ast	
340	1302	821	DICER1	ast	
949	698	823.5	ADNP	ast	
421	1227	824	H2AFV	ast	
734	915	824.5	MAP3K5	ast	
566	1085	825.5	BMP2K	ast	
906	745	825.5	NAV2	ast	
586	1077	831.5	SEC62	ast	
1506	158	832	DAAM1	ast	
796	869	832.5	GSTM3	ast	
1115	550	832.5	SRRM1	ast	
847	820	833.5	KIAA0368	ast	
763	905	834	ZMYM2	ast	
938	733	835.5	PPT1	ast	
860	815	837.5	AHCTF1	ast	
726	949	837.5	PPARGC1A	ast	
1266	409	837.5	TOR1AIP2	ast	
135	1546	840.5	TJP1	ast	
1166	516	841	MYO9A	ast	
1179	504	841.5	SEC31A	ast	
442	1244	843	HSD17B12	ast	
971	717	844	PFKM	ast	
667	1022	844.5	ITPKB	ast	
698	991	844.5	MBNL2	ast	
610	1084	847	VPS13B	ast	
830	865	847.5	GDI2	ast	
373	1325	849	OGFRL1	ast	
739	964	851.5	SETD5	ast	
423	1281	852	PAFAH1B1	ast	
1064	641	852.5	ARHGAP26	ast	
1096	612	854	ACAP2	ast	
764	944	854	NDUFA4	ast	
1082	626	854	PPP2R5C	ast	
1081	628	854.5	ASAH1	ast	
464	1245	854.5	MAPRE2	ast	
706	1007	856.5	LGR4	ast	
133	1589	861	PAQR8	ast	
648	1075	861.5	MGA	ast	
810	920	865	CDS2	ast	
1216	514	865	MIR99AHG	ast	
1453	277	865	PPP6R3	ast	
360	1370	865	UG0898H09	ast	
1264	470	867	SET	ast	
981	758	869.5	ENTPD1	ast	
1285	454	869.5	ZFYVE16	ast	
1027	718	872.5	RAB1A	ast	
67	1682	874.5	PEA15	ast	
1352	399	875.5	ZCCHC11	ast	
462	1290	876	DDX6	ast	
612	1140	876	FOSB	ast	
382	1371	876.5	KIAA1161	ast	
1110	646	878	CDH10	ast	
786	971	878.5	AP1G1	ast	
917	841	879	MDN1	ast	
1427	336	881.5	TCF7L2	ast	
1558	208	883	ALDOA	ast	
781	985	883	ELMO2	ast	
78	1691	884.5	TPT1	ast	
637	1136	886.5	SEC14L1	ast	
1385	390	887.5	PRDX3	ast	
1113	666	889.5	RAB22A	ast	
1159	622	890.5	DLD	ast	
852	930	891	ADAR	ast	
1370	412	891	SREK1	ast	
1516	268	892	TSC1	ast	
1133	662	897.5	AGL	ast	
688	1115	901.5	GPD2	ast	
743	1060	901.5	PTPRA	ast	
1281	524	902.5	FUBP1	ast	
1160	645	902.5	NUMB	ast	
1475	331	903	HMGCS1	ast	
650	1158	904	P2RY1	ast	
1182	627	904.5	KIAA0232	ast	
828	982	905	MPDZ	ast	
899	912	905.5	ATF7IP	ast	
419	1399	909	FAM168A	ast	
823	995	909	PPFIA1	ast	
559	1260	909.5	HOOK3	ast	
824	998	911	CALU	ast	
834	992	913	BCL6	ast	
700	1126	913	PDE4B	ast	
848	978	913	TNKS2	ast	
967	863	915	PLSCR4	ast	
322	1509	915.5	FAT3	ast	
696	1144	920	ZC3H13	ast	
1401	440	920.5	GHITM	ast	
560	1283	921.5	NCAM2	ast	
779	1066	922.5	PALLD	ast	
1602	243	922.5	PTEN	ast	
466	1382	924	ANKRD17	ast	
1121	727	924	DNER	ast	
1348	502	925	HIF3A	ast	
1379	472	925.5	PCDH17	ast	
643	1212	927.5	RNF213	ast	
533	1323	928	PRPF8	ast	
1067	790	928.5	ENAH	ast	
428	1433	930.5	SDC2	ast	
1041	837	939	EWSR1	ast	
920	958	939	PTMA	ast	
769	1111	940	JAK1	ast	
1031	855	943	AGO2	ast	
1214	674	944	MON2	ast	
738	1152	945	HEPACAM	ast	
1353	539	946	RFX3	ast	
1139	754	946.5	HOPX	ast	
525	1368	946.5	MAP1A	ast	
541	1352	946.5	UBE2H	ast	
1098	798	948	AC005154.6	ast	
481	1415	948	HNRNPC	ast	
549	1350	949.5	ACOX1	ast	
760	1142	951	CHD6	ast	
1005	897	951	FBXL5	ast	
937	968	952.5	PPP1R15B	ast	
1212	693	952.5	RBBP4	ast	
833	1074	953.5	PLCB1	ast	
663	1248	955.5	IGSF11	ast	
817	1095	956	OSBPL1A	ast	
1062	851	956.5	STOX1	ast	
924	990	957	MAGED1	ast	
529	1389	959	NIPBL	ast	
1392	532	962	RNPC3	ast	
831	1097	964	ABCC9	ast	
1468	461	964.5	CNP	ast	
903	1032	967.5	SSFA2	ast	
883	1054	968.5	PPP1CC	ast	
1158	781	969.5	ATP5C1	ast	
1056	885	970.5	NAV3	ast	
329	1612	970.5	TEAD1	ast	
737	1209	973	PTCH1	ast	
729	1222	975.5	HNRNPK	ast	
714	1241	977.5	WAC	ast	
1538	423	980.5	IFRD1	ast	
1481	484	982.5	TIA1	ast	
722	1247	984.5	ZMYND11	ast	
1513	460	986.5	SCAF11	ast	
771	1207	989	HEPH	ast	
611	1367	989	LNPEP	ast	
