Table S1f Top ranked cell type-expressed genes based on mouse data						
						
Zhang2014_rank	Zeisel2014_rank	Tasic2016_rank	grand_rank	gene	Celltype	
534	80	87	87	SEPT7	ast	
574	74	89	89	CD63	ast	
89	91	43	89	S1PR1	ast	
3369	73	90	90	FAM107A	ast	
67	92	142	92	HTRA1	ast	
93	131	29	93	DCLK1	ast	
110	94	94	94	ELOVL5	ast	
96	120	34	96	NRXN1	ast	
98	30	4979	98	LARS2	ast	
724	95	98	98	SLC25A4	ast	
91	99	180	99	EEF1A1	ast	
99	285	62	99	PNISR	ast	
28	100	120	100	ATP1B2	ast	
789	52	100	100	SEPP1	ast	
101	220	91	101	NCAM1	ast	
160	103	52	103	CANX	ast	
119	107	54	107	ACSBG1	ast	
166	68	109	109	ACSL6	ast	
68	109	891	109	KCNJ10	ast	
11	110	242	110	BCAN	ast	
691	54	111	111	CALM1	ast	
23	234	112	112	MACF1	ast	
113	5402	26	113	HSPA8	ast	
1764	102	114	114	MDH1	ast	
55	115	124	115	GRIA2	ast	
284	116	67	116	SERINC1	ast	
116	72	171	116	SYT11	ast	
768	119	65	119	PRDX1	ast	
238	123	101	123	SOX9	ast	
122	125	310	125	SPTBN1	ast	
133	89	126	126	HSP90AB1	ast	
277	126	116	126	SLC39A12	ast	
82	128	141	128	KIF1B	ast	
129	38	151	129	PRNP	ast	
130	56	375	130	ITM2B	ast	
131	336	104	131	DIO2	ast	
83	132	800	132	MLC1	ast	
202	104	135	135	ANK2	ast	
382	136	57	136	CHST2	ast	
137	329	129	137	TUBB2A	ast	
56	138	1900	138	GABBR1	ast	
1653	135	140	140	TAGLN3	ast	
142	127	385	142	MYO6	ast	
745	143	118	143	ABHD3	ast	
50	146	920	146	EGR1	ast	
1225	53	148	148	NTSR2	ast	
262	149	110	149	YWHAE	ast	
175	90	150	150	TCF4	ast	
604	69	152	152	FTH1	ast	
1509	152	32	152	GJB6	ast	
400	113	153	153	ACSL3	ast	
153	341	79	153	GRM3	ast	
154	112	946	154	LAMP1	ast	
2070	155	46	155	DPYSL2	ast	
36	156	155	155	FGFR3	ast	
87	157	196	157	GNAO1	ast	
78	190	160	160	DDX5	ast	
1966	161	96	161	RORB	ast	
165	18	4542	165	GM26917	ast	
97	1255	168	168	SRSF5	ast	
169	168	1034	169	HEPACAM	ast	
171	121	420	171	FABP5	ast	
176	160	209	176	AHCYL1	ast	
2	177	192	177	FOS	ast	
481	178	45	178	ALDOA	ast	
180	175	207	180	DTNA	ast	
863	180	80	180	NFIA	ast	
181	105	287	181	ATP5B	ast	
252	181	172	181	TMBIM6	ast	
183	403	166	183	CBX5	ast	
141	184	293	184	APLP2	ast	
185	195	115	185	SFXN5	ast	
1648	144	188	188	ATP5C1	ast	
212	189	184	189	APPL2	ast	
190	290	13	190	SAT1	ast	
2734	188	191	191	PREX2	ast	
879	193	106	193	TMEM59	ast	
2328	194	49	194	GSTM3	ast	
2382	170	195	195	CD47	ast	
52	196	451	196	TRIM9	ast	
80	202	655	202	TNFRSF19	ast	
108	204	414	204	TRIL	ast	
48	205	227	205	SLC38A3	ast	
66	232	206	206	SPAG9	ast	
206	1308	204	206	TUBA1A	ast	
479	208	125	208	NFIB	ast	
209	209	2126	209	RTN3	ast	
211	277	60	211	CTSB	ast	
282	212	175	212	MARCKS	ast	
213	382	66	213	CTSD	ast	
336	210	215	215	FERMT2	ast	
127	215	494	215	PEA15	ast	
538	217	190	217	ARHGAP5	ast	
218	322	107	218	OGT	ast	
347	96	218	218	TTC3	ast	
652	198	220	220	CDC42	ast	
94	977	222	222	H3F3B	ast	
2507	151	223	223	CMTM5	ast	
114	223	273	223	EIF4G2	ast	
224	308	154	224	HACD3	ast	
319	124	225	225	ATP5A1	ast	
894	201	226	226	GABRB1	ast	
178	227	658	227	EZR	ast	
411	228	156	228	CTNND2	ast	
3309	229	71	229	OMG	ast	
233	624	88	233	FNBP1	ast	
1625	185	234	234	PFN2	ast	
647	158	235	235	CADM1	ast	
236	203	426	236	CLTC	ast	
359	226	237	237	PSAT1	ast	
1220	238	216	238	NPTN	ast	
199	239	1817	239	ABR	ast	
239	362	228	239	C20ORF194	ast	
2010	240	147	240	ATP5F1	ast	
240	272	165	240	LSAMP	ast	
244	692	78	244	CLK1	ast	
168	434	244	244	SF3B1	ast	
615	246	103	246	GM2A	ast	
132	247	268	247	HSP90B1	ast	
1379	191	247	247	UGP2	ast	
248	274	134	248	EIF4A2	ast	
136	249	634	249	SLC25A3	ast	
229	392	250	250	POU3F3	ast	
1597	250	122	250	RNF13	ast	
373	251	201	251	RBM25	ast	
805	169	253	253	ARL6IP1	ast	
355	253	236	253	CS	ast	
254	269	132	254	HNRNPK	ast	
704	199	254	254	OAT	ast	
259	244	513	259	GNA13	ast	
8604	28	259	259	PLP1	ast	
444	260	149	260	FEZ1	ast	
118	435	260	260	VCAM1	ast	
2038	172	262	262	LCAT	ast	
126	296	263	263	NEDD4	ast	
263	174	764	263	SIRPA	ast	
1242	264	138	264	CNBP	ast	
265	197	342	265	FAM171B	ast	
1057	265	261	265	PMM1	ast	
306	266	21	266	F3	ast	
1628	258	271	271	TMEM176B	ast	
297	32	275	275	DBI	ast	
234	275	3539	275	FJX1	ast	
431	167	276	276	CCDC88A	ast	
2441	29	277	277	MT1X	ast	
1808	278	257	278	ATP6AP2	ast	
278	698	72	278	SPRY2	ast	
138	554	282	282	CALR	ast	
73	351	284	284	HMGCR	ast	
287	276	2835	287	ITM2C	ast	
288	243	534	288	PAQR8	ast	
291	483	181	291	CLASP2	ast	
294	515	230	294	ATRX	ast	
156	541	296	296	RSRP1	ast	
298	141	303	298	ASRGL1	ast	
4040	298	221	298	NKAIN4	ast	
172	900	302	302	PTPRS	ast	
1275	62	304	304	TMEM47	ast	
388	299	306	306	HAPLN1	ast	
852	97	309	309	MT-ND6	ast	
164	309	448	309	RBM39	ast	
310	297	394	310	SLC20A1	ast	
198	311	527	311	NRCAM	ast	
312	317	283	312	CTSV	ast	
255	312	1480	312	PBXIP1	ast	
25	314	1714	314	PSAP	ast	
2249	315	280	315	CALM2	ast	
1554	295	315	315	TPI1	ast	
316	1244	183	316	BTG2	ast	
134	655	319	319	SLC27A1	ast	
322	79	1286	322	TSPAN3	ast	
4850	327	324	327	LIX1	ast	
453	287	328	328	CELF2	ast	
329	662	307	329	CBS	ast	
570	330	205	330	YWHAZ	ast	
536	333	48	333	GNB1	ast	
333	552	162	333	SSR3	ast	
381	122	334	334	CD9	ast	
146	383	335	335	ALDH1L1	ast	
335	637	130	335	PPP1R3C	ast	
128	335	400	335	SLC15A2	ast	
1157	337	158	337	DAZAP2	ast	
44	369	340	340	ADGRG1	ast	
340	1252	193	340	PKM	ast	
434	343	99	343	DDAH1	ast	
921	303	344	344	DMD	ast	
661	345	176	345	LAMP2	ast	
348	1472	113	348	ENO1	ast	
92	352	2226	352	DUSP1	ast	
63	353	768	353	ADCYAP1R1	ast	
353	241	3964	353	GNAI2	ast	
1104	355	212	355	CAPZA2	ast	
332	356	1190	356	SORL1	ast	
4672	82	358	358	S100A1	ast	
1197	360	345	360	SELK	ast	
361	302	402	361	SPARC	ast	
301	656	362	362	TNIK	ast	
684	364	241	364	IDH1	ast	
364	294	1196	364	LAPTM4A	ast	
232	1432	364	364	TIMP3	ast	
1713	187	365	365	SKP1	ast	
828	365	93	365	UBC	ast	
1340	367	333	367	ALDH6A1	ast	
3442	319	368	368	SDHB	ast	
370	562	341	370	FDFT1	ast	
409	374	143	374	SLC7A11	ast	
378	375	338	375	PFKM	ast	
377	259	849	377	ABAT	ast	
391	377	189	377	LUC7L3	ast	
147	379	1346	379	FADS1	ast	
773	237	379	379	GAS5	ast	
5125	380	370	380	NDUFV2	ast	
125	388	3290	388	PREX1	ast	
1612	389	308	389	VDAC2	ast	
4723	320	390	390	ATP6V0E1	ast	
124	627	393	393	SLC3A2	ast	
395	982	350	395	MAGED1	ast	
581	395	117	395	RAB31	ast	
396	6771	159	396	GAPDH	ast	
10	398	2906	398	JUN	ast	
3341	399	245	399	ADK	ast	
1989	405	372	405	PAICS	ast	
407	2117	386	407	PHGDH	ast	
915	408	316	408	GABRG1	ast	
188	409	702	409	GFAP	ast	
458	77	409	409	ID3	ast	
249	789	411	411	MYO10	ast	
53	411	982	411	SLC1A4	ast	
412	325	3132	412	EPAS1	ast	
535	413	187	413	EPS15	ast	
415	1844	123	415	GDI1	ast	
416	5049	240	416	LUZP2	ast	
1699	404	417	417	UQCRC2	ast	
923	419	313	419	GTF3C2	ast	
2188	348	423	423	CYP2D6	ast	
423	1910	248	423	EIF1	ast	
406	423	1802	423	SLC7A2	ast	
69	425	682	425	ATP2A2	ast	
2469	428	239	428	SOD1	ast	
428	563	86	428	TECR	ast	
430	1323	177	430	BTG1	ast	
2430	430	256	430	UBL3	ast	
293	433	942	433	ENAH	ast	
12648	279	436	436	KCNK1	ast	
888	436	391	436	TRPS1	ast	
1216	106	438	438	NTM	ast	
3480	354	439	439	VIMP	ast	
214	440	1692	440	KIF1A	ast	
1710	441	295	441	MDH2	ast	
764	442	144	442	GSK3B	ast	
443	371	972	443	CSNK1A1	ast	
390	446	449	446	CKAP5	ast	
135	6126	446	446	NR1D1	ast	
1073	349	447	447	CNP	ast	
895	447	347	447	LDHA	ast	
374	448	772	448	GNG12	ast	
4235	452	419	452	PSMB6	ast	
105	454	2653	454	DAG1	ast	
256	455	459	455	MAP2	ast	
161	869	456	456	NISCH	ast	
456	834	200	456	RBM5	ast	
436	654	457	457	RASA2	ast	
84	458	1263	458	PLXNB1	ast	
459	176	601	459	CADM2	ast	
462	406	728	462	ACOX1	ast	
9003.5	252	462	462	ENPP2	ast	
528	219	464	464	RPL4	ast	
464	918	267	464	RPN2	ast	
2244	464	208	464	ZCCHC12	ast	
243	1465	467	467	ATP13A4	ast	
245	468	947	468	CCND2	ast	
5899	293	469	469	NDUFC2	ast	
557	470	199	470	MERTK	ast	
3642	472	232	472	SUCLG1	ast	
472	493	311	472	SYNE1	ast	
2370	473	179	473	TIMP4	ast	
475	3986	389	475	FMO1	ast	
10398	475	381	475	SNAP25	ast	
368	477	1659	477	MAP4	ast	
3987	478	213	478	MIR99AHG	ast	
2292	480	327	480	SDC2	ast	
1207	481	312	481	S100A16	ast	
482	1891	323	482	NSD1	ast	
946	484	246	484	SDHA	ast	
320	487	581	487	DDHD1	ast	
292	1280	489	489	GRK3	ast	
194	490	897	490	PCDH10	ast	
491	393	788	491	ARHGEF26	ast	
4726	261	491	491	CYB5A	ast	
65	492	3562	492	VEGFA	ast	
498	87	810	498	RCN2	ast	
200	499	1330	499	CNN3	ast	
1662	248	499	499	FAM213A	ast	
253	500	529	500	SQLE	ast	
228	812	501	501	KMT2C	ast	
235	501	562	501	PRRC2C	ast	
2464	502	399	502	IDH3G	ast	
302	504	1752	504	STT3B	ast	
326	954	505	505	LRP4	ast	
505	822	477	505	ZEB1	ast	
196	507	596	507	FGFR1	ast	
4656	242	508	508	HSD11B1	ast	
1279	508	264	508	PPT1	ast	
658	509	458	509	SMPDL3A	ast	
3072	218	509	509	SUB1	ast	
892	511	47	511	LRRC58	ast	
978	513	251	513	PTTG1IP	ast	
419	514	2451	514	ARAP2	ast	
26	1177	515	515	CYR61	ast	
3038	67	518	518	PANTR1	ast	
41	960	519	519	DAAM2	ast	
519	2689	512	519	NOTCH2	ast	
3736	520	412	520	ACTR10	ast	
520	280	734	520	CLCN3	ast	
521	129	3449	521	APP	ast	
2731	270	522	522	HSBP1	ast	
515	551	523	523	PRKAR1A	ast	
524	316	597	524	TMEM229A	ast	
425	525	1449	525	ALCAM	ast	
744	444	525	525	HSD17B12	ast	
775	524	526	526	ABHD4	ast	
526	1870	203	526	CHRDL1	ast	
530	748	266	530	SRRM1	ast	
420	531	2049	531	AMFR	ast	
531	8131	354	531	RPL3	ast	
1080	532	269	532	LMBRD1	ast	
1031	533	164	533	ASAH1	ast	
914	518	533	533	SEP15	ast	
582	534	475	534	SLC25A18	ast	
6681	535	357	535	THRSP	ast	
485	821	536	536	ACO2	ast	
7448	536	428	536	CML1	ast	
493	1375	537	537	ATL2	ast	
1320	282	540	540	GHITM	ast	
544	1595	478	544	CCDC141	ast	
328	859	544	544	MSI2	ast	
1319	545	366	545	AGPAT5	ast	
545	943	265	545	GPI	ast	
1112	523	546	546	MATR3	ast	
403	2059	548	548	MDM4	ast	
3444	540	551	551	SDHD	ast	
1228	381	553	553	DLGAP1	ast	
2630	306	555	555	HADHB	ast	
483	555	967	555	SPIRE1	ast	
120	566	557	557	WSB1	ast	
558	173	745	558	PBX1	ast	
559	506	916	559	NCKAP1	ast	
793	560	510	560	CYFIP1	ast	
495	564	1277	564	EMP2	ast	
197	571	2522	571	CYP51	ast	
208	573	983	573	KIAA1161	ast	
573	263	2122	573	SARAF	ast	
628	577	407	577	ABCD3	ast	
299	941	577	577	ITIH3	ast	
270	578	2211	578	ATP1B1	ast	
580	3239	76	580	PER3	ast	
4376	582	337	582	SAR1B	ast	
95	584	16213	584	XIST	ast	
371	1551	585	585	ABCC5	ast	
323	585	904	585	AZIN1	ast	
585	429	2937	585	BMPR1A	ast	
1614	449	586	586	MTCH2	ast	
3714	586	173	586	TMEM100	ast	
1725	587	580	587	IDH3B	ast	
587	559	672	587	KTN1	ast	
626	153	588	588	ADD3	ast	
590	1103	146	590	ARGLU1	ast	
1322	231	591	591	NPC2	ast	
6019	570	593	593	ETFB	ast	
452	1004	594	594	GRINA	ast	
901	595	68	595	IMPACT	ast	
286	973	595	595	P4HB	ast	
88	598	1192	598	DDX17	ast	
690	460	598	598	NAV2	ast	
1540	183	602	602	AKR1A1	ast	
602	676	95	602	CSDE1	ast	
660	602	56	602	SLC25A5	ast	
603	591	2766	603	RAB10	ast	
907	603	336	603	TPP1	ast	
3302	605	279	605	PCDH9	ast	
385	606	879	606	LUC7L2	ast	
606	491	2861	606	SERINC3	ast	
609	2202	424	609	TRPM7	ast	
610	1312	584	610	AKAP9	ast	
601	610	1006	610	SLC14A1	ast	
408	611	850	611	NXF1	ast	
447	827	614	614	FAM21A	ast	
1752	599	616	616	METAP2	ast	
386	616	1487	616	WNK1	ast	
1058	255	618	618	FUT9	ast	
307	618	1784	618	SRSF11	ast	
620	1745	592	620	HOOK3	ast	
1261	466	620	620	LAP3	ast	
290	623	707	623	CPEB4	ast	
623	1081	445	623	TIA1	ast	
624	2833	486	624	PIGS	ast	
1598	390	624	624	SDCBP	ast	
625	400	2869	625	IL6ST	ast	
819	626	431	626	EPRS	ast	
672	608	627	627	MAPRE1	ast	
269	630	3969	630	ITGA6	ast	
1183	631	572	631	LXN	ast	
631	2170	545	631	PNN	ast	
632	301	657	632	PON2	ast	
376	632	4010	632	SOX2	ast	
296	1761	633	633	JMJD1C	ast	
237	634	3625	634	PHYHIPL	ast	
634	357	3195	634	PURB	ast	
635	583	2714	635	HES1	ast	
682	636	621	636	TAOK1	ast	
637	874	558	637	MEGF10	ast	
167	638	1081	638	DDX3X	ast	
5389	396	638	638	NDUFB10	ast	
639	1455	343	639	FRMD4A	ast	
1029	71	639	639	MGLL	ast	
264	640	1457	640	APC	ast	
330	808	641	641	DKK3	ast	
223	751	642	642	CAMK2G	ast	
642	1500	314	642	SREK1	ast	
3428	643	567	643	VMP1	ast	
2048	646	202	646	PMP22	ast	
2622	601	646	646	SDF2	ast	
3116	207	647	647	DYNLL1	ast	
546	647	1671	647	EPB4.1L2	ast	
327	648	780	648	PAFAH1B1	ast	
1860	651	294	651	CTSO	ast	
2911	652	403	652	PFKP	ast	
653	1809	613	653	DOCK1	ast	
3143	321	656	656	NAAA	ast	
1416	657	410	657	TMED5	ast	
552	659	1687	659	NCOR1	ast	
4226	108	662	662	ATP5J	ast	
3293	88	663	663	UQCRH	ast	
668	556	1224	668	SPRED1	ast	
182	669	1059	669	ZFP36L2	ast	
1951	670	346	670	ARL8B	ast	
670	4460	322	670	KMT2D	ast	
1398	672	631	672	ABI1	ast	
673	635	1065	673	WASF3	ast	
576	2137	675	675	DUSP6	ast	
250	745	677	677	PDE4B	ast	
1524	678	352	678	ARAF	ast	
3948	324	679	679	ATP5H	ast	
707	680	288	680	NUDT3	ast	
681	2662	680	681	PRPF38B	ast	
1864	271	681	681	RPS14	ast	
1394	682	224	682	LRPAP1	ast	
3959	521	683	683	ATRAID	ast	
275	683	1740	683	SLC22A17	ast	
685	5542	497	685	PPIA	ast	
1462	685	131	685	ST13	ast	
42	686	1153	686	LRP1	ast	
856	687	318	687	ATP6AP1	ast	
383	855	687	687	MRAS	ast	
405	688	1892	688	CTNNB1	ast	
688	1127	128	688	MT3	ast	
692	1890	471	692	HERC1	ast	
503	693	3337	693	AXL	ast	
2948	694	466	694	CRIP2	ast	
627	696	1917	696	TNKS2	ast	
698	991	329	698	BCLAF1	ast	
352	1317	700	700	EGFR	ast	
179	701	2586	701	AGPAT3	ast	
57	702	958	702	SRRM2	ast	
5127	703	543	703	TMEM50A	ast	
187	770	704	704	KIDINS220	ast	
3942	705	434	705	BCAP31	ast	
184	917	705	705	HNRNPH1	ast	
999	666	706	706	ZFR	ast	
303	707	1374	707	EIF5	ast	
115	708	1242	708	EEF2	ast	
467	709	1233	709	SLC9A3R1	ast	
2855	710	432	710	RAB18	ast	
710	2743	133	710	SRSF2	ast	
591	1777	710	710	SRSF3	ast	
1474	642	711	711	ECI2	ast	
972	712	238	712	CD164	ast	
714	1403	511	714	NF1	ast	
5113	581	714	714	TMCO1	ast	
6243	550	715	715	DHRS7	ast	
104	715	4849	715	LRIG1	ast	
1198	717	305	717	R3HDM1	ast	
314	719	3228	719	PTPRF	ast	
720	544	5918	720	C1ORF198	ast	
338	1209	723	723	FGFR2	ast	
723	1002	69	723	SEPT2	ast	
103	724	1787	724	ABCA1	ast	
5267	726	382	726	ANXA5	ast	
257	728	803	728	LIMCH1	ast	
1352	729	300	729	ARF4	ast	
4395	558	729	729	ATP6V1E1	ast	
729	760	167	729	SOAT1	ast	
3823	732	607	732	ACAT1	ast	
732	706	1947	732	ADGRB3	ast	
2034	291	732	732	NEAT1	ast	
733	2890	258	733	SEPT11	ast	
192	735	819	735	ASTN1	ast	
1161	415	735	735	TMOD2	ast	
441	762	736	736	ITGAV	ast	
230	736	3804	736	TCF25	ast	
6638	737	514	737	KCNQ1OT1	ast	
737	1691	606	737	RBM26	ast	
261	739	1257	739	NKTR	ast	
159	741	1653	741	EIF4G3	ast	
5558	742	742	742	PSMB2	ast	
144	951	743	743	SEMA6D	ast	
564	4342	744	744	SRSF10	ast	
1280	557	747	747	PDHA1	ast	
747	738	1024	747	PSD2	ast	
749	140	4278	749	IGFBP5	ast	
5648	749	628	749	TUBA4A	ast	
1445	660	750	750	NEBL	ast	
162	1541	753	753	PYGB	ast	
897	754	670	754	TMED10	ast	
4063	117	755	755	NDUFA4	ast	
349	1049	757	757	ADD1	ast	
640	758	2992	758	HSPA9	ast	
1042	439	758	758	TMSB4Y	ast	
759	262	1261	759	APLP1	ast	
903	139	760	760	PPP3CA	ast	
760	2282	274	760	USP22	ast	
3424	230	762	762	TPRKB	ast	
763	675	993	763	KIAA1109	ast	
743	815	763	763	MIB1	ast	
750	763	2553	763	SEL1L	ast	
766	426	1124	766	NR3C1	ast	
279	767	1568	767	HNRNPL	ast	
767	867	582	767	PPP2R1A	ast	
569	768	2136	768	RB1	ast	
285	4771	770	770	CFL1	ast	
772	1173	292	772	BIRC6	ast	
3573	761	775	775	ADH5	ast	
4356	775	82	775	DHRS3	ast	
457	776	2027	776	ZCCHC24	ast	
2174	778	453	778	CLMN	ast	
4671	679	779	779	PSMA6	ast	
779	619	1137	779	UBE2D3	ast	
2451	781	528	781	EFCAB14	ast	
1988	784	504	784	IDH3A	ast	
712	939	784	784	RPN1	ast	
1532	785	301	785	POU3F2	ast	
785	2011	299	785	SEC61A1	ast	
2004	787	468	787	ATP6V0B	ast	
740	788	1093	788	TM9SF2	ast	
827	790	145	790	PITPNC1	ast	
1206	699	790	790	ZRANB2	ast	
2574	791	576	791	ABI2	ast	
241	842	791	791	AKT2	ast	
902	792	64	792	SSR1	ast	
689	2100	793	793	KANK1	ast	
501	1033	795	795	EIF3A	ast	
1655	795	356	795	TUG1	ast	
6422	363	796	796	FXYD1	ast	
1731	796	541	796	ZWINT	ast	
713	962	798	798	ASH1L	ast	
1045	798	741	798	WDR1	ast	
693	802	7837	802	NACC2	ast	
599	1522	805	805	LUC7L	ast	
806	2715	678	806	C5ORF51	ast	
4138	673	809	809	ECH1	ast	
7418	810	720	810	MAP1B	ast	
813	1039	157	813	PDIA6	ast	
2712	814	214	814	MBNL1	ast	
815	1786	210	815	SC5D	ast	
1753	733	816	816	TGOLN2	ast	
816	2559	644	816	TPM3	ast	
6523	818	752	818	CISD1	ast	
818	326	1537	818	FAM168A	ast	
5726	811	818	818	NDUFS7	ast	
1577	823	330	823	DNAJA1	ast	
242	824	1422	824	ARHGEF12	ast	
186	1061	824	824	CCNL1	ast	
1146	793	825	825	HNRNPC	ast	
268	7710	828	828	FTL1	ast	
1537	828	817	828	SIRT2	ast	
6887	567	829	829	PHYH	ast	
979	830	384	830	GDI2	ast	
832	948	716	832	BMPR1B	ast	
721	832	8254	832	NRXN2	ast	
1543	668	832	832	PJA2	ast	
579	833	2029	833	SLC41A1	ast	
834	281	1572	834	ITGB8	ast	
1102	386	835	835	CAT	ast	
1252	835	719	835	TMX3	ast	
1432	836	603	836	EMC3	ast	
62	838	5075	838	TTYH3	ast	
1542	786	839	839	GPC5	ast	
842	339	1549	842	RDX	ast	
4550	579	842	842	VPS29	ast	
3192	843	827	843	PAIP2	ast	
112	2319	844	844	INSIG1	ast	
845	192	1794	845	DNER	ast	
2412	459	847	847	GABARAP	ast	
1917	780	848	848	TAX1BP1	ast	
786	848	1647	848	XPR1	ast	
1761	850	474	850	U2SURP	ast	
696	851	2929	851	CELF1	ast	
4087	783	851	851	PSMD14	ast	
5057	179	853	853	NDUFB9	ast	
3112	853	516	853	SYPL	ast	
2192	530	854	854	EMC7	ast	
855	934	442	855	PHKA1	ast	
1149	422	856	856	RFX4	ast	
831	856	1217	856	SQSTM1	ast	
1842	857	290	857	PNRC2	ast	
204	910	859	859	HUWE1	ast	
859	3169	427	859	TET2	ast	
1030	860	178	860	SLITRK2	ast	
1883	861	139	861	MAP1LC3B	ast	
1457	171	863	863	RPS3	ast	
645	965	864	864	CTNNA1	ast	
155	865	992	865	PTCH1	ast	
5792	854	866	866	ATP6V1D	ast	
866	663	3287	866	DNAJC3	ast	
869	1008	503	869	CLK4	ast	
1200	720	870	870	GNB2L1	ast	
440	872	1108	872	KLHL5	ast	
873	182	991	873	OXCT1	ast	
701	873	3328	873	ZMYND11	ast	
5931	214	876	876	NDUFA13	ast	
3362	876	665	876	TLR3	ast	
877	451	1951	877	TMED7	ast	
157	2070	877	877	UBR5	ast	
1680	878	360	878	CREBBP	ast	
2780	346	878	878	RPS5	ast	
460	879	885	879	CALU	ast	
177	880	3076	880	BRD2	ast	
880	474	2088	880	REEP3	ast	
2998	881	686	881	NDUFV1	ast	
346	882	1454	882	GTF2I	ast	
1187	837	882	882	ZC3H7A	ast	
2130	884	650	884	PRDX2	ast	
885	1334	862	885	DNM1L	ast	
1084	886	565	886	NSDHL	ast	
487	1086	886	886	TEF	ast	
887	397	1975	887	IMPAD1	ast	
527	887	2203	887	PTPRA	ast	
5007	661	888	888	SPCS1	ast	
3579	456	889	889	C18ORF32	ast	
2839	889	865	889	HDHD2	ast	
1038	892	58	892	TSC22D3	ast	
893	1171	771	893	HNRNPU	ast	
404	896	1629	896	ACLY	ast	
896	625	1527	896	C6ORF62	ast	
3770	410	898	898	PSMB1	ast	
4469	899	667	899	MOCS2	ast	
2862	901	383	901	PRODH	ast	
905	1854	422	905	SLC25A36	ast	
2199	813	906	906	MFSD2A	ast	
3005	907	884	907	ACAA2	ast	
616	1250	907	907	MYCBP2	ast	
1158	840	911	911	ATAD1	ast	
912	1722	473	912	PDIA4	ast	
149	15042	913	913	ACTG1	ast	
4304	462	914	914	BRK1	ast	
422	914	1072	914	TTC14	ast	
1257	412	917	917	GPD2	ast	
917	200	1756	917	TSC22D4	ast	
13340	575	919	919	APOD	ast	
824	919	6093	919	GRIN2C	ast	
920	543	3602	920	ADCY2	ast	
5320	920	623	920	TM2D2	ast	
801	921	1710	921	BSG	ast	
4464	852	922	922	PSMA7	ast	
924	257	1946	924	MFAP3L	ast	
5168	925	708	925	MOB4	ast	
926	2018	550	926	FAM120A	ast	
697	2133	926	926	ZHX3	ast	
5331	561	927	927	PARK7	ast	
1186	929	397	929	TMEM170B	ast	
2497	453	934	934	DEGS1	ast	
934	2141	836	934	GRAMD3	ast	
2733	935	808	935	PGM1	ast	
935	2079	398	935	TIAL1	ast	
780	937	2974	937	KIF21A	ast	
3332	773	938	938	PSMC1	ast	
543	2416	940	940	TIPARP	ast	
940	488	4457	940	TM9SF3	ast	
943	1499	787	943	TPR	ast	
563	944	4251	944	SEMA6A	ast	
6270	256	945	945	B2M	ast	
1258	945	542	945	HIPK1	ast	
945	1519	783	945	USP2	ast	
947	6547	392	947	ZNF512B	ast	
948	716	2041	948	PPP2CA	ast	
949	1290	883	949	ANKRD17	ast	
